Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
Gauges Activator,1,119,119,119,119,119,119,119,0.00%,8.4,2.7,0.00
Loader,1,3290,3290,3290,3290,3290,3290,3290,0.00%,.3,.1,0.00
Debug Sampler,1,4,4,4,4,4,4,4,0.00%,250.0,3357.9,0.00
Login,141203,71,2,93,203,1190,0,42002,0.20%,19.6,7.5,660.41
List Bookings,35727,89,17,118,292,1199,0,37896,0.37%,5.0,77.4,653.26
View Profile Information,35683,65,2,93,202,1088,0,37014,0.37%,5.0,2.6,605.44
logout,136676,59,2,86,189,1022,0,37011,0.18%,19.0,6.6,589.26
QueryFlight,35574,80,6,124,297,1216,0,36966,0.35%,4.9,5.0,554.35
Update Customer,35675,71,3,104,287,1110,0,37086,0.36%,5.0,2.6,558.56
BookFlight,19485,66,2,90,197,1072,0,27066,0.35%,2.7,.9,650.27
TOTAL,440026,69,3,95,205,1106,0,42002,0.25%,61.1,102.4,617.37
